stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
100363,Gorge Rd E at Balfour Ave,48.44342,-123.3865,0,100363
100364,Lampson St at Wychbury Ave,48.42576,-123.40796,0,100364
100365,Esquimalt Rd at Lampson St,48.42945,-123.4064,0,100365
100366,Lampson St at Fernhill Rd,48.43128,-123.40516,0,100366
100367,Lampson St at Bewdley Ave,48.42377,-123.40854,0,100367
100369,Gorge Rd E at Balfour Ave,48.4436,-123.38683,0,100369
100370,Lampson St at Wychbury Ave,48.42512,-123.40833,0,100370
100371,Lampson St at Munro St,48.42202,-123.40908,0,100371
100372,Lampson St at Old Esquimalt Rd,48.4334,-123.40368,0,100372
100373,Lampson St at Lyall St,48.42677,-123.40785,0,100373
100374,Lampson St at Bewdley Ave,48.42314,-123.40894,0,100374
100375,Richardson St at Richmond Ave,48.41769,-123.33093,0,100375
100376,Lampson St at Fernhill Rd,48.43109,-123.40569,0,100376
100377,Ross St at Wildwood Ave,48.4108,-123.33362,0,100377
100378,Finlayson St at Quadra St,48.44602,-123.36278,0,100378
100379,Lampson St at Old Esquimalt Rd,48.43388,-123.40371,0,100379
100380,Burnside Rd E at Alpha St,48.44614,-123.37779,0,100380
100381,Lampson St at Munro St,48.42176,-123.40938,0,100381
100382,Oak Bay Ave at Belcher Ave,48.42655,-123.3328,0,100382
100383,Fairfield Rd at Robertson St,48.41511,-123.33204,0,100383
100384,Fort St at Leighton Rd,48.42855,-123.3324,0,100384
100385,Hillside Ave at Cedar Hill Rd,48.44104,-123.34545,0,100385
100386,Craigflower Rd at Carrie St,48.44011,-123.3954,0,100386
100387,Esquimalt Rd at Lampson St West Side,48.42975,-123.4075,0,100387
100388,Craigflower Rd at Carrie St,48.44027,-123.39544,0,100388
100389,Quadra St at Finlayson St,48.44596,-123.36118,0,100389
100390,Fairfield Rd at Richmond Ave,48.41529,-123.33095,0,100390
100392,Finlayson St at Quadra St,48.44622,-123.36217,0,100392
100393,Richardson St at Gonzales Ave,48.41835,-123.33008,0,100393
100394,Douglas St at Herald St,48.42996,-123.3644,0,100394
100395,Gorge Rd E at Harriet Rd,48.44377,-123.38972,0,100395
100396,Hillside Ave at Cedar Hill Rd,48.44125,-123.3447,0,100396
100397,Oak Bay Ave at Richmond Ave,48.42639,-123.32988,0,100397
100398,Gorge Rd E at Harriet Rd,48.44389,-123.38965,0,100398
100399,Burnside Rd E at Washington Ave,48.44667,-123.37919,0,100399
100401,Quadra St at Finlayson St,48.44683,-123.36119,0,100401
100402,Fort St at Ashgrove St,48.42911,-123.33139,0,100402
100403,Shelbourne St at Denman St,48.43275,-123.3335,0,100403
100404,Munro St at Kinver St,48.42173,-123.41097,0,100404
100405,UVic Exch Bay G,48.46625,-123.30887,0,100405
100406,Oak Bay Ave at Richmond Ave,48.42653,-123.33066,0,100406
100407,Richmond Ave at Leighton Rd,48.42814,-123.33033,0,100407
100408,Lampson St at Wurtele Pl,48.43665,-123.40289,0,100408
100410,Crescent Rd at Richmond Ave,48.41174,-123.33064,0,100410
100411,Shelbourne St at Bay St,48.43281,-123.33329,0,100411
100412,Crescent Rd at Richmond Ave,48.41167,-123.33051,0,100412
100413,Kiwanis Way at Hipwood Lane,48.44364,-123.34802,0,100413
100414,Burnside Rd E at Dupplin Rd,48.44724,-123.38003,0,100414
100415,Munro St at Kinver St,48.42196,-123.41182,0,100415
100416,Craigflower Rd at Arcadia St,48.44077,-123.39919,0,100416
100417,Craigflower Rd at Arcadia St,48.44075,-123.39859,0,100417
100418,Lampson St at Ellery St,48.43758,-123.40225,0,100418
100419,Lampson St at Colville Rd,48.43855,-123.40212,0,100419
100420,Cedar Hill Rd at Hipwood Lane,48.44389,-123.34753,0,100420
100421,Esquimalt Rd at Fernhill Rd,48.42993,-123.41019,0,100421
100422,Finlayson St at Somerset St,48.44693,-123.35648,0,100422
100424,Finlayson St at Blackwood St,48.44693,-123.35556,0,100424
100425,Richardson St at Lawndale Ave,48.41952,-123.32764,0,100425
100426,Cook St at Summit Ave,48.44507,-123.34924,0,100426
100427,Fort St at Richmond Ave,48.4297,-123.32968,0,100427
100429,William Head Rd at Pearson College Dr,48.3513,-123.5463,0,100429
100430,Esquimalt Rd at Fernhill Rd,48.4301,-123.41016,0,100430
100432,Foul Bay Rd at Fairfield Rd,48.41576,-123.32768,0,100432
100433,Shelbourne St at Bay St,48.43548,-123.33381,0,100433
100434,Richmond Rd at Fort St,48.43011,-123.32989,0,100434
100435,William Head Rd at Pearson College Dr,48.35133,-123.54625,0,100435
100436,Foul Bay Rd at Fairfield Rd,48.41586,-123.32749,0,100436
100438,Fort St at Richmond Rd,48.4299,-123.32957,0,100438
100439,Foul Bay Rd at Quixote Lane,48.41425,-123.32772,0,100439
100440,Cedar Hill Rd at Hibberson Cres,48.44477,-123.34692,0,100440
100441,Richmond Rd at Coronation Ave,48.43136,-123.32979,0,100441
100442,Hillside Ave at Gosworth Rd,48.44227,-123.34167,0,100442
100443,Cook St at Mallek Cres,48.44561,-123.34917,0,100443
100444,Munro St at Plaskett Pl,48.42253,-123.41379,0,100444
100445,Quadra St at Tolmie Ave,48.44875,-123.36195,0,100445
100446,Burnside Rd E at Balfour Ave,48.44814,-123.3822,0,100446
100447,Munro St at Plaskett Pl,48.42235,-123.41384,0,100447
100448,Hillside Ave at Gosworth Rd,48.4424,-123.34176,0,100448
100449,Cedar Hill Rd at Delatre St,48.44497,-123.34653,0,100449
100450,Shelbourne St at Haultain St,48.43649,-123.33356,0,100450
100451,Richmond Rd at Denman St,48.43197,-123.32941,0,100451
100452,Burnside Rd E at Eldon Place,48.44866,-123.38281,0,100452
100453,Oak Bay Ave at Chamberlain St,48.42639,-123.32674,0,100453
100454,Douglas St at Kelvin Rd,48.44964,-123.37376,0,100454
100455,Quadra St at Tolmie Ave,48.44932,-123.36171,0,100455
100456,Douglas St at Cloverdale Ave,48.44986,-123.37353,0,100456
100457,Craigflower Rd at Lampson St,48.44157,-123.40129,0,100457
100458,Oak Bay Ave at Davie St,48.42653,-123.32655,0,100458
100459,Gorge Rd W at Wascana St,48.44525,-123.39299,0,100459
100460,Crescent Rd at Foul Bay Rd,48.41209,-123.32709,0,100460
100461,Shelbourne St at Kings Rd,48.43757,-123.33374,0,100461
100462,Gorge Rd W at Wascana St,48.44577,-123.39347,0,100462
100463,Craigflower Rd at Lampson St,48.44141,-123.40132,0,100463
100464,Colville Rd at MacLeod Ave,48.4387,-123.4054,0,100464
100465,William Head Rd at Sandgate Rd,48.35326,-123.5473,0,100465
100466,Colville Rd at MacLeod Ave,48.43881,-123.40544,0,100466
100467,Fraser St at Wychbury Ave,48.42654,-123.41442,0,100467
100468,Richmond Rd at Bay St,48.4334,-123.32935,0,100468
100469,Fraser St at Juno St,48.42768,-123.41394,0,100469
100470,Esquimalt Rd at Fraser St,48.43027,-123.41329,0,100470
